Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-1494-2010","2005-11-23 00:00:00","10253093","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","981000","","66.29","1 B/R","20","B5-048","Marina Towers","Marina Mall","Burj Al Arab","2","1","","CAYAN TOWER"
"102-1565-2010","2005-11-14 00:00:00","6118286","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","2109400","","148.78","2 B/R","39","B2-054","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","TRIDENT GRAND"
"102-1572-2010","2005-02-14 00:00:00","318948","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Office","1017400","","75.99","Office","14","B5-222","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","AL MAS TOWER"
"102-1583-2010","2005-12-23 00:00:00","303275","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1139474","","90.87","1 B/R","12","P3-5","Marina Towers","Marina Mall","Burj Al Arab","2","1","","TORCH TOWER"
"102-1615-2010","2005-02-17 00:00:00","315569","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","320000","","34.43","Studio","5","PL -1151","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","GOLD CREST VIEWS2"
"102-1619-2010","2005-11-27 00:00:00","271222","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","839218.5","","84.36","1 B/R","51","1P72","Marina Towers","Marina Mall","Burj Al Arab","1","1","","MAG218"
"102-1627-2010","2005-09-11 00:00:00","6117632","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1582000","","154.25","2 B/R","6","B1-016","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","TRIDENT GRAND"
"102-1654-2010","2005-10-03 00:00:00","253560","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","684888","","70.79","1 B/R","33","1","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","MARINA QUAYS"
"102-1656-2010","2005-01-30 00:00:00","308694","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Office","646760","","79.06","Office","6","PL 2-2128","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","GOLD CREST EXECUTIVE"
"102-1668-2010","2005-09-05 00:00:00","13720190","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1090000","","121.13","1 B/R","3","Building 4-B3-41","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-1721-2010","2005-12-18 00:00:00","6117995","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1318000","","109.89","1 B/R","25","B4-331","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","2","1","","TRIDENT GRAND"
"102-1732-2010","2005-04-18 00:00:00","255107","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","595933","","72.93","1 B/R","12","DMCC L3-3020","Damac Properties","Marina Mall","Burj Al Arab","1","1","","LAKE SHORE TOWER"
"102-1772-2010","2005-11-27 00:00:00","271172","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","721664.8","","84.36","1 B/R","46","2P35","Marina Towers","Marina Mall","Burj Al Arab","1","1","","MAG218"
"102-1879-2010","2005-03-21 00:00:00","253335","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","891888","","116.5","2 B/R","5","1","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","MARINA QUAYS"
"102-1969-2010","2005-09-05 00:00:00","303394","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1239739","","90.87","1 B/R","22","P2-55","Marina Towers","Marina Mall","Burj Al Arab","2","1","","TORCH TOWER"
"102-2020-2010","2005-12-19 00:00:00","6540646","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","5400000","","378.28","3 B/R","7","G-61, 62","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","FAIRMONT PALM RESIDENCE"
"102-2085-2010","2005-10-30 00:00:00","315564","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","263000","","29.71","Studio","5","PL 3-3237","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","GOLD CREST VIEWS2"
"102-2101-2010","2005-08-21 00:00:00","6117998","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1705000","","133.43","2 B/R","26","B3-170","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","TRIDENT GRAND"
