Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-1293-2004","2004-08-12 00:00:00","234575","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1768500","","231.42","3 B/R","5","361, 362","Dubai Marina","Marina Mall","Burj Al Arab","2","1","","MARINASCAPE"
"102-1294-2004","2004-06-05 00:00:00","13719476","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1187500","","167.94","2 B/R","4","Building 1-B3-91","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-1296-2004","2004-05-30 00:00:00","13720052","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1500000","","167.19","2 B/R","6","Building 3-B3-38","Palm Jumeirah","Marina Mall","Burj Al Arab","2","1","","GOLDEN MILE"
"102-1298-2004","2004-05-06 00:00:00","16895489","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","3300000","","312.04","3 B/R","6","Building 8- B3-66, 67, 68","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-1485-2010","2004-05-25 00:00:00","13719482","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1092500","","175.29","2 B/R","4","Building 1-B3-84","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-1491-2010","2004-10-18 00:00:00","13720400","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","2270000","","350.09","3 B/R","1","Building 5-B3-92","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-1528-2010","2004-05-31 00:00:00","13719803","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1170000","","119.68","1 B/R","6","Building 2-B3-76","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-1765-2010","2004-08-15 00:00:00","13720247","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","2550000","","309.24","3 B/R","4","Building 4-B3-122","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-1839-2010","2004-12-21 00:00:00","315835","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","886000","","100.64","2 B/R","21","PL -1101","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","","GOLD CREST VIEWS2"
"102-1859-2010","2004-06-05 00:00:00","13719650","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1250000","","167.19","2 B/R","2","Building 2-B3-80","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-1892-2010","2004-06-21 00:00:00","13720370","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1540000","","194.74","2 B/R","1","Building 5-B3-125","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-1944-2010","2004-12-20 00:00:00","315596","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","252000","","29.88","Studio","6","PL -1117","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","GOLD CREST VIEWS2"
"102-1946-2010","2004-05-25 00:00:00","13719392","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","845500","","121.13","1 B/R","2","Building 1-B3-85","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-2004-2010","2004-07-22 00:00:00","13720244","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1450000","","175.29","2 B/R","4","Building 4-B3-80","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-2120-2010","2004-10-09 00:00:00","4445970","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","509200","","62.52","1 B/R","8","DMCC-2121","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","","GLOBAL LAKE VIEW"
"102-2190-2010","2004-05-31 00:00:00","13719485","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","2200000","","309.24","3 B/R","4","Building 1-B3-68,73","Palm Jumeirah","Marina Mall","Burj Al Arab","2","1","","GOLDEN MILE"
"102-6185-2009","2004-05-05 00:00:00","13719449","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","2050000","","309.24","3 B/R","3","Building 1-B3-76","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6202-2009","2004-10-18 00:00:00","13720517","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1600000","","167.19","2 B/R","5","Building 5-B3-45","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6207-2009","2004-05-06 00:00:00","13720445","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1377500","","167.19","2 B/R","3","Building 5-B3-47,Building 5-B3-34","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6242-2009","2004-05-06 00:00:00","13719470","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1235000","","167.19","2 B/R","4","Building 1-B3-92","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6245-2009","2004-05-05 00:00:00","13720205","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1120000","","119.68","1 B/R","3","Building 4-B3-33","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6253-2009","2004-05-05 00:00:00","13719929","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1425000","","166.7","2 B/R","2","Building 3-B3-119","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6276-2009","2004-12-28 00:00:00","13720514","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1600000","","167.14","2 B/R","5","Building 5-B3-121,122","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6283-2009","2004-05-06 00:00:00","13719548","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1282500","","167.94","2 B/R","6","Building 1-B3-90","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6376-2009","2004-05-30 00:00:00","13719953","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1070000","","119.68","1 B/R","3","Building 3-B3-139","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6400-2009","2004-05-30 00:00:00","13719941","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1350000","","167.14","2 B/R","3","Building 3-B3-138","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6455-2009","2004-05-05 00:00:00","13720169","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1070000","","119.68","1 B/R","2","Building 4-B3-34","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6463-2009","2004-05-05 00:00:00","13719926","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1425000","","166.09","2 B/R","2","Building 3-B3-118","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-6495-2009","2004-06-05 00:00:00","13719665","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","2137500","","309.24","3 B/R","2","Building 2-B3-112","Palm Jumeirah","Marina Mall","Burj Al Arab","2","1","","GOLDEN MILE"
"102-7307-2009","2004-07-15 00:00:00","13719893","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1540000","","241.94","2 B/R","1","Building 3-B3-98","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-7311-2009","2004-05-22 00:00:00","13720208","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1400000","","175.29","2 B/R","3","Building 4-B3-79","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-7316-2009","2004-08-30 00:00:00","16896872","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1800000","","167.22","2 B/R","2","Building 10- B3-16","Palm Jumeirah","Marina Mall","Burj Al Arab","2","1","","GOLDEN MILE"
"11-1-2004","2004-01-05 00:00:00","64884","Sales","Sale","Ready","Non Free Hold","Residential","Al Mamzer","Land","Residential","3500000","1827.4","1827.4","","","","Al Qiyadah Metro Station","","Dubai International Airport","1","1","",""
"11-10-2004","2004-01-05 00:00:00","84816","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim First","Land","Residential","1257080","1061.7","1061.7","","","","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","8","",""
"11-100-2004","2004-01-14 00:00:00","59314","Sales","Sale","Ready","Non Free Hold","Residential","Al Karama","Land","Residential","50000000","4184.91","4184.91","","","","ADCB Metro Station","Dubai Mall","Dubai International Airport","1","1","",""
"11-1000-2004","2004-05-09 00:00:00","30711","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","600000","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1001-2004","2004-05-09 00:00:00","49860","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Third","Land","Residential","800000","1393.55","1393.55","","","","Sharaf Dg Metro Station","Mall of the Emirates","Sports City Swimming Academy","1","1","",""
"11-1002-2004","2004-05-09 00:00:00","30829","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","2362680","1829.17","1829.17","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","2","",""
"11-1003-2004","2004-05-09 00:00:00","83345","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Second","Land","Residential","827390","904.32","912.31","","","","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","1","1","",""
"11-1004-2004","2004-05-09 00:00:00","37449","Sales","Sale","Ready","Non Free Hold","Commercial","Hor Al Anz","Land","Commercial","2800000","232.26","235.88","","","","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","1","13","",""
"11-1005-2004","2004-05-09 00:00:00","30461","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","3200000","940.64","940.64","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","3","1","",""
"11-1006-2004","2004-05-09 00:00:00","80976","Sales","Sale","Ready","Non Free Hold","Commercial","Al Hamriya","Land","Commercial","1900000","199.56","199.56","","","","Al Fahidi Metro Station","Dubai Mall","Dubai International Airport","1","1","",""
"11-1007-2004","2004-05-09 00:00:00","72525","Sales","Sale","Ready","Non Free Hold","Residential","Al Mezhar Second","Land","Residential","3581380","4557.82","4557.82","","","","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1008-2004","2004-05-09 00:00:00","54696","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim First","Land","Residential","5300000","1393.55","1393.55","","","","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","2","",""
"11-1009-2004","2004-05-10 00:00:00","80753","Sales","Sale","Ready","Non Free Hold","Residential","Al Rashidiya","Land","Residential","800000","929.03","929.03","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","6","",""
"11-101-2004","2004-01-14 00:00:00","61258","Sales","Sale","Ready","Non Free Hold","Residential","Nad Al Hamar","Land","Residential","1165600","1746.58","1746.58","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1010-2004","2004-05-10 00:00:00","87079","Sales","Sale","Ready","Non Free Hold","Residential","Wadi Al Amardi","Land","Agricultural","4865400","17056.99","18043.06","","","","","City Centre Mirdif","","1","1","",""
"11-1011-2004","2004-05-10 00:00:00","28889","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","2212500","1644.38","1644.38","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1012-2004","2004-05-10 00:00:00","82657","Sales","Sale","Ready","Non Free Hold","Residential","Um Al Sheif","Land","Residential","1800000","1393.55","1393.55","","","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","1","",""
"11-1013-2004","2004-05-10 00:00:00","40389","Sales","Sale","Ready","Non Free Hold","Residential","Abu Hail","Land","Residential Flats","900000","232.26","232.26","","","","Abu Baker Al Siddique Metro Station","","Dubai International Airport","1","1","",""
"11-1014-2004","2004-05-10 00:00:00","87210","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha First","Land","Residential","2475000","2090.32","2090.32","","","","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","1","1","",""
"11-1015-2004","2004-05-10 00:00:00","67595","Sales","Sale","Ready","Non Free Hold","Commercial","Al Raffa","Land","Commercial","2000000","218.79","218.79","","","","Al Fahidi Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"11-1016-2004","2004-05-11 00:00:00","24893","Sales","Sale","Ready","Non Free Hold","Residential","Al Mamzer","Land","Residential","9800000","1877.76","1877.76","","","","Al Qiyadah Metro Station","","Dubai International Airport","1","1","",""
"11-1017-2004","2004-05-11 00:00:00","17091","Sales","Sale","Ready","Non Free Hold","Residential","Nad Al Hamar","Land","Residential","795000","1393.55","1393.55","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1018-2004","2004-05-11 00:00:00","76461","Sales","Sale","Ready","Non Free Hold","Residential","Al Rashidiya","Land","Residential","570000","334.45","334.45","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1019-2004","2004-05-11 00:00:00","87866","Sales","Sale","Ready","Non Free Hold","Residential","Al Goze First","Land","Government Housing","700000","334.45","334.45","","","","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","1","",""
"11-102-2004","2004-01-14 00:00:00","30079","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","700000","929.03","929.03","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
