Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-12643-2006","2006-02-16 00:00:00","313962","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Office","5933550","","366.72","Office","27","P2-63&P2-64&P2-65&P2-66","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","ONE BUSINESS BAY"
"102-12644-2006","2006-02-16 00:00:00","313963","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Office","5660625","","349.14","Office","27","P2-67&P2-68&P2-69&P2-70","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","ONE BUSINESS BAY"
"102-12645-2006","2006-02-16 00:00:00","313964","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Office","6547200","","404.04","Office","27","P2-71&P2-72&P2-73&P2-74","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","ONE BUSINESS BAY"
"102-12646-2006","2006-02-16 00:00:00","313965","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Office","5804400","","357.72","Office","27","P2-75&P2-76&P2-77","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","ONE BUSINESS BAY"
"102-12647-2006","2006-06-25 00:00:00","6118085","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","2195000","","164.49","3 B/R","30","B4-254, B4-255","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","TRIDENT GRAND"
"102-12648-2006","2006-05-21 00:00:00","6118202","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","2068000","","148.8","2 B/R","35","B4-328","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","TRIDENT GRAND"
"102-12649-2006","2006-08-09 00:00:00","267245","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","2140000","","216.28","3 B/R","7","B3-150,151","Dubai Marina","Marina Mall","Burj Al Arab","1","1","","BAYSIDE RESIDENCE"
"102-1542-2010","2006-12-07 00:00:00","6540880","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","5850000","","382.84","PENTHOUSE","10","G-48, 49","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","FAIRMONT PALM RESIDENCE"
"102-1547-2010","2006-10-17 00:00:00","270819","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1318477.58","","161.84","2 B/R","11","3B14","Marina Towers","Marina Mall","Burj Al Arab","1","1","","MAG218"
"102-1554-2010","2006-09-03 00:00:00","10253246","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1989540","","141.33","2 B/R","26","B2-241","Marina Towers","Marina Mall","Burj Al Arab","1","1","","CAYAN TOWER"
"102-1566-2010","2006-04-15 00:00:00","13720397","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1890000","","241.93","2 B/R","1","Building 5-B3-116","Palm Jumeirah","Marina Mall","Burj Al Arab","2","1","","GOLDEN MILE"
