Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"11-1-2002","2002-01-02 00:00:00","48783","Sales","Sale","Ready","Non Free Hold","Residential","Jumeirah Second","Land","Residential","1850000","935.72","935.72","","","","Business Bay Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"11-10-2002","2002-01-02 00:00:00","27862","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","510264","831.67","924.57","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-100-2002","2002-01-15 00:00:00","27973","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","1635535","2762.66","2762.66","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1000-2002","2002-06-12 00:00:00","65481","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Third","Land","Residential","1950000","1412.13","1412.13","","","","Dubai Internet City","Mall of the Emirates","Burj Al Arab","1","1","",""
"11-1001-2002","2002-06-12 00:00:00","70738","Sales","Sale","Ready","Non Free Hold","Residential","Muhaisanah First","Land","Residential","970000","1956.82","2033.93","","","","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1002-2002","2002-06-12 00:00:00","51676","Sales","Sale","Ready","Non Free Hold","Residential","Al Mezhar Second","Land","Residential","877500","2090.32","2090.32","","","","Etisalat Metro Station","City Centre Mirdif","","1","1","",""
"11-1003-2002","2002-06-12 00:00:00","94134","Sales","Sale","Ready","Non Free Hold","Residential","Al-Aweer","Land","Agricultural","700000","14862.44","14862.44","","","","","","","3","1","",""
"11-1004-2002","2002-06-15 00:00:00","27856","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","1500000","672.34","672.34","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1005-2002","2002-06-15 00:00:00","30776","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","535538","672.34","672.34","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1006-2002","2002-06-15 00:00:00","54593","Sales","Sale","Ready","Non Free Hold","Residential","Al Twar Second","Land","Residential","800000","929.03","929.03","","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1007-2002","2002-06-15 00:00:00","31019","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","1100000","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","5","",""
"11-1008-2002","2002-06-16 00:00:00","60825","Sales","Sale","Ready","Non Free Hold","Residential","Al Mezhar Second","Land","Residential","1300000","929.03","929.03","","","","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1009-2002","2002-06-16 00:00:00","28738","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","487600","854.71","854.71","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-101-2002","2002-01-16 00:00:00","67222","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","560000","929.03","929.03","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
