Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"11-541-2000","2000-07-19 00:00:00","60230","Sales","Sale","Ready","Non Free Hold","Residential","Al-Murar Qadeem","Land","Residential","1300000","180.51","180.51","","","","","","","1","2","",""
"11-542-2000","2000-07-19 00:00:00","90300","Sales","Sale","Ready","Non Free Hold","Residential","Al-Aweer","Land","Agricultural","7346000","55532.77","57480.94","","","","","","","1","1","",""
"11-543-2000","2000-07-22 00:00:00","65651","Sales","Sale","Ready","Non Free Hold","Residential","Nad Al Hamar","Land","Residential","400000","1393.55","1393.55","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","12","",""
"11-544-2000","2000-07-22 00:00:00","68634","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Second","Land","Residential","555000","1393.55","1393.55","","","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","4","",""
"11-545-2000","2000-07-22 00:00:00","49981","Sales","Sale","Ready","Non Free Hold","Residential","Al Rashidiya","Land","Residential","340000","427.35","427.35","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-546-2000","2000-07-22 00:00:00","4190","Sales","Sale","Ready","Non Free Hold","Commercial","Al Karama","Land","Commercial","1200000","232.26","232.26","","","","ADCB Metro Station","Dubai Mall","Dubai International Airport","1","1","",""
"11-547-2000","2000-07-23 00:00:00","59154","Sales","Sale","Ready","Non Free Hold","Residential","Al Mezhar Second","Land","Residential","500000","1858.06","1858.06","","","","Etisalat Metro Station","City Centre Mirdif","","1","7","",""
"11-548-2000","2000-07-23 00:00:00","58008","Sales","Sale","Ready","Non Free Hold","Commercial","Al Mararr","Land","Commercial","1400000","263.29","263.29","","","","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","1","1","",""
"11-549-2000","2000-07-23 00:00:00","30223","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","202500","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-55-2000","2000-02-02 00:00:00","56500","Sales","Sale","Ready","Non Free Hold","Commercial","Al Hamriya","Land","Commercial","2982280","989.51","989.51","","","","Al Fahidi Metro Station","Dubai Mall","Dubai International Airport","1","1","",""
"11-550-2000","2000-07-23 00:00:00","67333","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","202500","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-551-2000","2000-07-24 00:00:00","59475","Sales","Sale","Ready","Non Free Hold","Residential","Al Mezhar Second","Land","Residential","500000","1858.06","1858.06","","","","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","1","5","",""
"11-552-2000","2000-07-24 00:00:00","30223","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","247500","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-553-2000","2000-07-24 00:00:00","67333","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","240000","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-554-2000","2000-07-25 00:00:00","30203","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","1070000","672.34","672.34","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","2","1","",""
"11-556-2000","2000-07-25 00:00:00","60101","Sales","Sale","Ready","Non Free Hold","Residential","Al Saffa Second","Land","Residential","900000","1393.55","1393.55","","","","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","1","",""
"11-557-2000","2000-07-26 00:00:00","30423","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","232500","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-558-2000","2000-07-26 00:00:00","67333","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","277500","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-559-2000","2000-07-30 00:00:00","28280","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","750000","1393.55","1393.55","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-56-2000","2000-02-05 00:00:00","56852","Sales","Sale","Ready","Non Free Hold","Commercial","Al-Murar Qadeem","Land","Commercial","2800000","173.17","173.17","","","","","","","1","2","",""
"11-560-2000","2000-07-31 00:00:00","51747","Sales","Sale","Ready","Non Free Hold","Residential","Hor Al Anz","Land","Residential","500000","234.95","234.95","","","","Abu Hail Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-561-2000","2000-07-31 00:00:00","60262","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","1687200","2749.93","2749.93","","","","","","","1","1","",""
"11-562-2000","2000-08-02 00:00:00","56081","Sales","Sale","Ready","Non Free Hold","Commercial","Al Suq Al Kabeer","Land","Commercial","5319308","1399.12","1443.09","","","","Al Fahidi Metro Station","Dubai Mall","Dubai International Airport","1","12","",""
"11-563-2000","2000-08-02 00:00:00","55278","Sales","Sale","Ready","Non Free Hold","Commercial","Al Raffa","Land","Commercial","35000000","1099.41","1099.41","","","","Al Fahidi Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"11-565-2000","2000-08-05 00:00:00","60282","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","1100000","487.74","487.74","","","","","","","1","1","",""
"11-566-2000","2000-08-07 00:00:00","62626","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim Second","Land","Residential","2550000","772.21","772.21","","","","","","","1","2","",""
"11-567-2000","2000-08-08 00:00:00","59899","Sales","Sale","Ready","Non Free Hold","Residential","Al Mezhar First","Land","Residential","465000","1393.55","1393.55","","","","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-568-2000","2000-08-08 00:00:00","60335","Sales","Sale","Ready","Non Free Hold","Commercial","Burj Khalifa","Land","Industrial","7745400","1845.05","1845.05","","","","","","","1","1","",""
"11-569-2000","2000-08-09 00:00:00","55454","Sales","Sale","Ready","Non Free Hold","Residential","Al Warqa Third","Land","Residential","254034","1072.75","1072.75","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","9","",""
"11-57-2000","2000-02-05 00:00:00","6798","Sales","Sale","Ready","Non Free Hold","Residential","Al Satwa","Land","Residential","400000","232.26","232.26","","","","","","","1","1","",""
"11-570-2000","2000-08-09 00:00:00","59475","Sales","Sale","Ready","Non Free Hold","Residential","Al Mezhar Second","Land","Residential","560000","1858.06","1858.06","","","","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-572-2000","2000-08-09 00:00:00","60351","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","3000000","1393.55","1393.55","","","","","","","1","1","",""
"11-573-2000","2000-08-09 00:00:00","52674","Sales","Sale","Ready","Non Free Hold","Residential","Al Mezhar Second","Land","Residential","850000","1858.06","1858.06","","","","Etisalat Metro Station","City Centre Mirdif","","1","1","",""
"11-574-2000","2000-08-12 00:00:00","29667","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","975000","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-575-2000","2000-08-13 00:00:00","28006","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","1015000","625.89","625.89","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-576-2000","2000-08-13 00:00:00","29823","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","2622080","1522.49","1522.49","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","2","",""
"11-577-2000","2000-08-14 00:00:00","58245","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim Second","Land","Residential","675000","594.58","594.58","","","","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","1","",""
"11-578-2000","2000-08-14 00:00:00","60467","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","675000","594.58","594.58","","","","","","","1","1","",""
"11-579-2000","2000-08-16 00:00:00","58434","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Third","Land","Residential","400000","1393.55","1393.55","","","","Sharaf Dg Metro Station","Mall of the Emirates","Sports City Swimming Academy","1","1","",""
"11-58-2000","2000-02-05 00:00:00","20990","Sales","Sale","Ready","Non Free Hold","Residential","Hor Al Anz East","Land","Residential","900000","1021.93","1021.93","","","","Abu Hail Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-580-2000","2000-08-16 00:00:00","60448","Sales","Sale","Ready","Non Free Hold","Residential","Nad Rashid","Land","Residential","350000","334.45","334.45","","","","","","","1","1","",""
"11-581-2000","2000-08-16 00:00:00","59188","Sales","Sale","Ready","Non Free Hold","Residential","Al Goze First","Land","","300000","929.03","929.03","","","","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","3","",""
"11-582-2000","2000-08-16 00:00:00","29075","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","1000000","743.22","743.22","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","7","1","",""
"11-583-2000","2000-08-19 00:00:00","28058","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","820000","645.86","645.86","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-584-2000","2000-08-19 00:00:00","58434","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Third","Land","Residential","450000","1393.55","1393.55","","","","Sharaf Dg Metro Station","Mall of the Emirates","Sports City Swimming Academy","1","1","",""
"11-585-2000","2000-08-19 00:00:00","60476","Sales","Sale","Ready","Non Free Hold","Residential","Al Qoaz","Land","","300000","576","576","","","","","","","1","1","",""
"11-586-2000","2000-08-19 00:00:00","27843","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","981960","1520.45","1520.45","","","","","","","1","3","",""
"11-587-2000","2000-08-19 00:00:00","29453","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","765000","1393.55","2914","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-588-2000","2000-08-20 00:00:00","38112","Sales","Sale","Ready","Non Free Hold","Residential","Hor Al Anz","Land","Residential","640000","219.34","219.34","","","","Abu Baker Al Siddique Metro Station","","Dubai International Airport","2","1","",""
"11-589-2000","2000-08-21 00:00:00","78528","Sales","Sale","Ready","Non Free Hold","Residential","Al Khawaneej","Land","Residential","350000","1858.06","1858.06","","","","","","","1","1","",""
"11-59-2000","2000-02-05 00:00:00","51859","Sales","Sale","Ready","Non Free Hold","Commercial","Al Nahda Second","Land","Commercial","1460800","1357.13","1357.13","","","","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-590-2000","2000-08-22 00:00:00","51746","Sales","Sale","Ready","Non Free Hold","Residential","Al Waheda","Land","Residential","740000","455.22","455.22","","","","Abu Hail Metro Station","","Dubai International Airport","1","1","",""
"11-591-2000","2000-08-22 00:00:00","30356","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","247500","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-592-2000","2000-08-23 00:00:00","16420","Sales","Sale","Ready","Non Free Hold","Residential","Nad Al Hamar","Land","Residential","362600","910.45","910.45","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","2","",""
"11-593-2000","2000-08-26 00:00:00","60540","Sales","Sale","Ready","Non Free Hold","Residential","Nad Rashid","Land","Residential","1250000","910.45","910.45","","","","","","","1","1","",""
"11-594-2000","2000-08-26 00:00:00","30423","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","262500","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","2","1","",""
"11-595-2000","2000-08-27 00:00:00","30452","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","3000000","1393.55","1393.55","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-596-2000","2000-08-27 00:00:00","62640","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","4000000","594.58","594.58","","","","","","","1","1","",""
"11-597-2000","2000-08-29 00:00:00","30223","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","277500","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-598-2000","2000-08-29 00:00:00","56187","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Third","Land","Residential","495000","1393.55","1393.55","","","","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","2","1","",""
"11-599-2000","2000-08-29 00:00:00","32586","Sales","Sale","Ready","Non Free Hold","Commercial","Al Muteena","Land","Commercial","1230000","293.67","293.67","","","","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","1","1","",""
"11-6-2000","2000-01-04 00:00:00","40829","Sales","Sale","Ready","Non Free Hold","Residential","Abu Hail","Land","Residential","700000","232.26","232.26","","","","Abu Baker Al Siddique Metro Station","","Dubai International Airport","1","1","",""
"11-60-1997","2000-01-24 00:00:00","56580","Sales","Sale","Ready","Non Free Hold","Commercial","Zareeba Duviya","Land","Commercial","9750000","1393.55","1393.55","","","","","","","2","1","",""
"11-60-2000","2000-02-05 00:00:00","7756","Sales","Sale","Ready","Non Free Hold","Residential","Al Satwa","Land","Residential","350000","231.79","231.79","","","","Trade Centre Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"11-600-2000","2000-08-30 00:00:00","78528","Sales","Sale","Ready","Non Free Hold","Residential","Al Khawaneej","Land","Residential","400000","1858.06","1858.06","","","","","","","1","1","",""
"11-601-2000","2000-08-30 00:00:00","27994","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","600000","1393.55","1393.55","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-602-2000","2000-09-02 00:00:00","60651","Sales","Sale","Ready","Non Free Hold","Residential","Jumeirah","Land","Residential","1350000","1393.55","1393.55","","","","","","","1","1","",""
"11-603-2000","2000-09-02 00:00:00","83852","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","550000","929.03","929.03","","","","","","","1","1","",""
"11-604-2000","2000-09-03 00:00:00","28289","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","1350000","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","2","",""
"11-605-2000","2000-09-03 00:00:00","29479","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","337500","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-606-2000","2000-09-03 00:00:00","29102","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","285000","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-607-2000","2000-09-03 00:00:00","30834","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","675000","1393.55","1393.55","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-608-2000","2000-09-03 00:00:00","30837","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","675000","1393.55","1393.55","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-609-2000","2000-09-04 00:00:00","49981","Sales","Sale","Ready","Non Free Hold","Residential","Al Rashidiya","Land","Residential","390000","427.35","427.35","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-61-2000","2000-02-05 00:00:00","21088","Sales","Sale","Ready","Non Free Hold","Residential","Hor Al Anz East","Land","Residential","920000","910.45","910.45","","","","Al Qiyadah Metro Station","","Dubai International Airport","1","1","",""
"11-610-2000","2000-09-05 00:00:00","55282","Sales","Sale","Ready","Non Free Hold","Commercial","Al Murqabat","Land","Commercial","4300000","999.08","999.08","","","","Al Rigga Metro Station","Dubai Mall","Dubai International Airport","1","1","",""
"11-611-2000","2000-09-05 00:00:00","53647","Sales","Sale","Ready","Non Free Hold","Residential","Hor Al Anz","Land","Residential","260000","158.96","158.96","","","","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-612-2000","2000-09-06 00:00:00","7547","Sales","Sale","Ready","Non Free Hold","Residential","Al Satwa","Land","Residential","500000","232.26","232.26","","","","","","","1","1","",""
"11-613-2000","2000-09-06 00:00:00","65651","Sales","Sale","Ready","Non Free Hold","Residential","Nad Al Hamar","Land","Residential","600000","1393.55","1393.55","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-614-2000","2000-09-06 00:00:00","30698","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","1700000","929.03","929.03","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","3","",""
"11-615-2000","2000-09-09 00:00:00","55585","Sales","Sale","Ready","Non Free Hold","Residential","Al Jafliya","Land","Residential","1000000","1412.13","1412.13","","","","Al Jafiliya Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"11-616-2000","2000-09-09 00:00:00","28676","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","447840","924.57","924.57","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-617-2000","2000-09-09 00:00:00","60695","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim Second","Land","Residential","300000","1374.96","1374.96","","","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","1","",""
