Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"11-1-1993","2001-04-15 00:00:00","45884","Sales","Sale","Ready","Non Free Hold","Residential","Al Mamzer","Land","Residential","2175000","1189.16","1189.16","","","","Al Qiyadah Metro Station","","Dubai International Airport","1","1","",""
"11-1-2001","2001-01-02 00:00:00","53841","Sales","Sale","Ready","Non Free Hold","Residential","Muhaisanah First","Land","Residential","300000","956.9","956.9","","","","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-10-2001","2001-01-06 00:00:00","60580","Sales","Sale","Ready","Free Hold","Commercial","Al Thanayah Fourth","Land","Commercial","3769800","2714.88","2714.88","","","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-100-2001","2001-01-31 00:00:00","62841","Sales","Sale","Ready","Non Free Hold","Residential","Um Suqaim","Land","Residential","2175000","929.03","929.03","","","","","","","1","1","",""
"11-1000-2001","2001-10-01 00:00:00","61969","Sales","Sale","Ready","Non Free Hold","Commercial","Al Barsha First","Land","Commercial","1152000","1486.45","1486.45","","","","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","1","2","",""
"11-1001-2001","2001-10-01 00:00:00","64848","Sales","Sale","Ready","Non Free Hold","Residential","Al Manara","Land","Residential","1122420","1336.87","1336.87","","","","","","","1","1","",""
"11-1002-2001","2001-10-01 00:00:00","64852","Sales","Sale","Ready","Non Free Hold","Residential","Al Manara","Land","Residential","1126944","1342.26","1342.26","","","","","","","1","1","",""
"11-1003-2001","2001-10-01 00:00:00","64851","Sales","Sale","Ready","Non Free Hold","Residential","Al Manara","Land","Residential","1131000","1347.09","1347.09","","","","","","","1","1","",""
"11-1004-2001","2001-10-01 00:00:00","84278","Sales","Sale","Ready","Non Free Hold","Residential","Al Manara","Land","Residential","1170000","1393.55","1393.55","","","","","","","1","1","",""
"11-1005-2001","2001-10-01 00:00:00","64845","Sales","Sale","Ready","Non Free Hold","Residential","Al Manara","Land","Residential","1170000","1393.55","6813.32","","","","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","1","",""
"11-1006-2001","2001-10-02 00:00:00","61622","Sales","Sale","Ready","Non Free Hold","Residential","Al Qusais Third","Land","Residential","250000","278.71","278.71","","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1007-2001","2001-10-02 00:00:00","66222","Sales","Sale","Ready","Non Free Hold","Residential","Muhaisanah First","Land","Residential","325000","1151.63","1151.63","","","","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1008-2001","2001-10-02 00:00:00","47703","Sales","Sale","Ready","Non Free Hold","Residential","Mankhool","Land","Residential","1692605","1849.98","924.94","","","","ADCB Metro Station","Dubai Mall","Burj Khalifa","2","1","",""
"11-1009-2001","2001-10-02 00:00:00","29334","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","1200000","929.03","929.03","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-101-2001","2001-01-31 00:00:00","28756","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","900000","1393.55","1393.55","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
