Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"11-9734-2022","2022-05-11 08:29:02","10121770","Sales","Sale","Ready","Free Hold","Residential","Al Hebiah Third","Land","Residential","4100000","448.26","448.26","","","","","","Motor City","1","2","","DAMAC HILLS - SILVER SPRINGS"
"11-9735-2022","2022-05-11 08:32:55","7110001","Sales","Sale","Ready","Free Hold","Commercial","Al Hebiah Fourth","Land","Commercial","4000000","668.15","668.15","","","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","PRIME VILLAS"
"11-9736-2022","2022-05-11 08:40:37","190176","Sales","Sale","Ready","Free Hold","Residential","Marsa Dubai","Unit","Flat","1904000","242.35","242.35","3 B/R","3","104-105","Jumeirah Beach Residency","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-9737-2022","2022-05-11 08:49:30","20378914","Sales","Sale","Ready","Free Hold","Residential","Burj Khalifa","Unit","Flat","1495000","74.99","74.99","1 B/R","4","M-11","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","ELITE DOWNTOWN RESIDENCE"
"11-9738-2022","2022-05-11 08:59:37","149112","Sales","Sale","Ready","Free Hold","Residential","Wadi Al Safa 6","Building","Villa","3500000","374.03","374.03","3 B/R","","","","","Motor City","2","1","",""
"11-9739-2022","2022-05-11 09:01:42","172370129","Sales","Sale","Ready","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","1152000","73.02","73.02","1 B/R","39","B4-23","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","MBL RESIDENCE"
"11-9740-2022","2022-05-11 09:04:41","259549","Sales","Sale","Ready","Free Hold","Residential","Palm Jumeirah","Unit","Flat","5150000","211.81","211.81","3 B/R","5","B1-1186,1187","Palm Jumeirah","Marina Mall","Burj Al Arab","2","2","",""
"11-9742-2022","2022-05-11 09:06:35","35747178","Sales","Sale","Ready","Free Hold","Residential","Marsa Dubai","Unit","Flat","1450000","101.69","101.69","2 B/R","27","B1-102","Jumeirah Beach Residency","Marina Mall","Sports City Swimming Academy","1","1","","Studio One"
"11-9743-2022","2022-05-11 09:08:59","16777466","Sales","Sale","Ready","Free Hold","Residential","Palm Jumeirah","Unit","Flat","6684525","183.97","183.97","2 B/R","3","B-79","Al Sufouh","Mall of the Emirates","Burj Al Arab","2","1","","MURABA RESIDENCES PALM JUMERIAH"
"11-9744-2022","2022-05-11 09:27:45","18042079","Sales","Sale","Ready","Free Hold","Residential","Marsa Dubai","Unit","Flat","1855000","141.21","141.21","2 B/R","2","B1-13","Jumeirah Beach Residency","Marina Mall","Burj Al Arab","1","3","","SPARKLE TOWERS"
