,X,Y,price_sqf
9,25.078537,55.136358,1797.175866495507
15,25.071367,55.124955,2352.9411764705883
27,25.077889,55.155662,1997.6498237367805
33,25.077889,55.155662,2103.559870550162
36,25.193638,55.279085,4792.147806004618
40,25.071367,55.124955,2232.1428571428573
60,25.059253788341,55.199733316669,1334.9514563106795
68,25.072621365655,55.127983689308,2213.6137244050915
76,25.072621365655,55.127983689308,3408.3162917518744
91,25.098929,55.120651,1926.252063841497
95,25.079234,55.14868,1254.355400696864
106,25.072621365655,55.127983689308,2716.4685908319184
124,25.086438,55.147157,2433.0900243309
131,25.197167,55.273931,4153.167185877466
137,25.203629,55.261652,2906.1752206603464
151,25.194602,55.282436,3601.800900450225
156,25.086438,55.147157,2504.038772213248
174,25.112159,55.137355,2340.5500292568754
183,25.074878,55.133678,1992.88256227758
203,25.167356,55.404014,777.2511848341233
205,25.071367,55.124955,2244.8979591836733
229,25.197159,55.274491,3098.1404958677685
257,25.199155807495,55.274662017822,2807.971014492753
267,25.071367,55.124955,2141.203703703704
269,25.072244145223,55.127074384906,4253.611556982343
272,25.194738,55.282366,3218.562874251497
273,25.086438,55.147157,2328.159645232816
274,25.206727292335,55.345108509064,2790.116279069768
281,25.072222279941,55.126414561542,3234.501347708895
288,25.200813681385,55.276276767308,3815.892997639654
299,25.077412,55.134255,1743.5622317596567
301,25.116091,55.13741,2254.098360655738
309,25.077434,55.140271,2332.195676905574
312,25.073214,55.131642,2604.913169319826
321,25.227242,55.342072,2231.8454363757496
331,25.072222279941,55.126414561542,3947.368421052632
335,25.071367,55.124955,2852.04991087344
340,25.086438,55.147157,2075.471698113208
355,25.086438,55.147157,2224.6941045606227
377,25.071367,55.124955,2404.274265360641
380,25.071367,55.124955,2181.400688863376
381,25.083446597461,55.144809186459,1988.0715705765408
382,25.180421162231,55.263823270689,2539.68253968254
385,25.201524,55.269977,3744.580212849823
387,25.09239078171,55.168108195067,1733.6485421591804
391,25.081719,55.141422,1974.6121297602256
397,25.071367,55.124955,2183.404657933042
402,25.108885523859,55.142352283001,2068.2686907020875
407,25.193638,55.279085,2884.6153846153848
410,25.10934,55.147634,2555.1102204408817
412,25.112154,55.137438,2049.1803278688526
414,25.082587,55.146614,1451.9056261343012
416,25.087214,55.145463,2052.6315789473683
417,25.195499,55.271766,4545.454545454545
447,25.116493,55.141202,3199.4704324801414
453,25.184467,55.281964,1830.0153139356808
464,25.197159,55.274491,2537.6246600181325
481,25.194644,55.282205,3481.012658227848
498,25.085800170898,55.148498535156,2292.621925802417
507,25.197159,55.274491,3113.5531135531137
540,25.194911,55.282549,3392.329646017699
550,25.071367,55.124955,2619.924308588064
553,25.054471,55.207022,1759.8343685300208
554,25.194911,55.282549,3282.5310668229777
561,25.071367,55.124955,2496.2546816479403
591,25.071367,55.124955,2416.520210896309
597,25.12543,55.153182,2141.90093708166
599,25.113844,55.139982,3686.6359447004606
600,25.132463966772,55.151206254959,3562.34096692112
603,25.071367,55.124955,2475.685234305924
606,25.071367,55.124955,2246.6960352422907
607,25.200813681385,55.276276767308,2607.709750566893
611,25.072244145223,55.127074384906,4396.7828418230565
616,25.039144,55.220734,789.0365448504983
618,25.044033,55.215234,883.5341365461848
628,25.071367,55.124955,2497.225305216426
632,25.071367,55.124955,2747.56725815684
643,25.08952,55.171343,2056.555269922879
650,25.195499,55.271766,4308.656482569526
653,25.072222279941,55.126414561542,2912.621359223301
658,25.077889,55.155662,2538.901238488409
665,25.082587,55.146614,1330.9134906231095
667,25.086438,55.147157,2446.4119291705497
676,25.184561,55.291356,2201.9334049409235
680,25.201816,55.270863,3160.270880361174
681,25.240513231972,55.252073232741,2509.410288582183
706,25.072244145223,55.127074384906,4560.085836909871
710,25.072222279941,55.126414561542,4202.401372212693
711,25.086782726638,55.145288407857,1912.3505976095616
735,25.194738,55.282366,3154.7619047619046
736,25.071367,55.124955,2725.54781054513
746,25.072222279941,55.126414561542,3397.168989547038
748,25.113844,55.139982,5432.322317790856
754,25.199155807495,55.274662017822,3217.1581769437
764,25.072244145223,55.127074384906,4427.083333333333
769,25.083315,55.146775,1513.4529147982062
772,25.083871,55.13879,4150.607767565965
785,25.086782726638,55.145288407857,1993.6204146730463
815,25.077434,55.140271,1988.6363636363635
818,25.040412,55.223207,888.3236040609137
825,25.072222279941,55.126414561542,4370.179948586118
835,25.086517,55.147372,2558.85363357216
846,25.083871,55.13879,4268.943436499467
849,25.194644,55.282205,2502.979737783075
862,25.201816,55.270863,3423.626787057938
864,25.089816,55.170355,1798.3651226158038
871,25.079069004534,55.136218070984,2174.887892376681
872,25.078374,55.137878,1915.3225806451608
873,25.086438,55.147157,1966.4268585131888
889,25.083871,55.13879,3826.266804550155
892,25.197159,55.274491,3192.0432220039293
915,25.184467,55.281964,1914.241960183768
916,25.072244145223,55.127074384906,4128.686327077748
932,25.104144,55.148481,2918.693537178596
937,25.083446597461,55.144809186459,2061.855670103093
947,25.206727292335,55.345108509064,2784.8837209302324
955,25.200571,55.275844,3439.80343980344
958,25.025002660824,55.243804525646,1296.5964343598057
959,25.086438,55.147157,2505.873140172279
961,25.182245,55.254283,1826.754385964912
970,25.239604,55.251058,3255.4576790501724
972,25.137279,55.188912,3229.9741602067184
978,25.212998,55.319693,1402.5777103866565
979,25.067098,55.139762,1610.3921143847488
982,25.184887,55.259794,1787.5647668393783
995,25.087609,55.172853,2031.0391363022943
998,25.071367,55.124955,2406.4171122994653
1001,25.071367,55.124955,2406.4171122994653
1015,25.104144,55.148481,3127.171646977067
1031,25.071367,55.124955,2547.307132459971
1033,25.113844,55.139982,8617.594254937163
1037,24.862205,55.143094,1139.469591226321
1046,25.086438,55.147157,2297.4607013301083
1056,25.184467,55.281964,1933.5347432024168
1069,25.067098,55.139762,1402.1226415094338
1076,25.182245,55.254283,1790.123456790123
1083,25.090799331665,55.169700622559,1919.805589307412
1094,25.068527,55.128906,2027.027027027027
1095,25.086438,55.147157,2433.0900243309
1103,25.072244145223,55.127074384906,3983.794733288319
1117,25.193638,55.279085,5113.636363636363
1126,25.071367,55.124955,2129.547471162378
1127,25.071367,55.124955,2109.7046413502107
1136,25.195499,55.271766,3291.639236339697
1139,25.072222279941,55.126414561542,3125.0
1142,25.193518,55.265523,1977.5214238628869
1151,25.193638,55.279085,3037.653705953828
1152,25.184561,55.291356,2023.815333882935
1161,25.07238,55.136245,2380.3571428571427
1162,25.07238,55.136245,2257.636122177955
1165,25.077412,55.134255,2006.335797254488
1172,25.071367,55.124955,2426.470588235294
1175,25.087214,55.145463,1989.36170212766
1177,25.072244145223,55.127074384906,3222.3796033994336
1191,25.197167,55.273931,5147.759771210677
1194,25.07856,55.12123,5216.769890424012
1205,25.071587,55.131803,2184.441747572815
1210,25.084499359131,55.149101257324,2040.8163265306123
1212,25.197167,55.273931,3336.510962821735
1219,25.086438,55.147157,2082.758620689656
1230,25.072222279941,55.126414561542,4476.351351351352
1260,25.072621365655,55.127983689308,3271.9836400817994
1267,25.194911,55.282549,4069.767441860465
1272,25.04023,55.182205,1100.132380952381
1274,25.20084,55.342691,2023.809523809524
1281,25.13535573362,55.189063248645,5898.15858699737
1286,25.104144,55.148481,3054.2043085476025
1287,25.104134,55.148728,2421.3075060532688
1307,25.01649,55.253218,1474.4186046511627
1309,25.047331,55.203911,1159.6292481977343
1311,25.191362,55.272827,2785.514391829155
1322,25.226752,55.343369,1242.8977272727273
1334,25.113844,55.139982,3400.0
1343,25.11521,55.248445,1894.7368421052631
1348,25.057845,55.239318,1301.980198019802
